OUTPUT,nru,3e+07,5,24900,24899,24.111,3.03924
OUTPUT,nru,5e+06,150,24900,24900,4.112,0.908554
OUTPUT,nru,5e+06,300,49800,49799,4.22392,0.706661
OUTPUT,nru,0,300,12450,12449,4.05567,2.93582
OUTPUT,nru,3e+07,5,24900,24899,24.111,2.99964
OUTPUT,nru,5e+06,150,24900,24900,4.112,0.956145
OUTPUT,nru,5e+06,300,49800,49800,4.224,0.699157
OUTPUT,nru,0,300,12450,12450,4.056,3.1094
OUTPUT,nru,3e+07,5,24900,3,0.00290506,188
OUTPUT,nru,5e+06,150,24900,162,0.0267528,149.568
OUTPUT,nru,5e+06,300,49800,384,0.0325706,142.344
OUTPUT,nru,0,300,12450,0,0,0
OUTPUT,nru,3e+07,5,24900,24899,24.111,2.92747
OUTPUT,nru,5e+06,150,24900,24900,4.112,0.790201
OUTPUT,nru,5e+06,300,49800,49800,4.224,1.23293
OUTPUT,nru,0,300,12450,12449,4.05567,7.28187
OUTPUT,nru,3e+07,5,24900,24899,24.111,2.92172
OUTPUT,nru,5e+06,150,24900,24900,4.112,1.10932
OUTPUT,nru,5e+06,300,49800,49743,4.21917,2.28941
OUTPUT,nru,0,300,12450,12449,4.05567,3.59234
OUTPUT,nru,3e+07,5,24900,0,0,0
OUTPUT,nru,5e+06,150,24900,932,0.153911,124.097
OUTPUT,nru,5e+06,300,49800,19,0.00161157,163.842
OUTPUT,nru,0,300,12450,1,0.000325783,0
