OUTPUT,nru,0,100,0.26928,4.13725
OUTPUT,nru,0,100,0.26928,4.05882
OUTPUT,nru,1e+06,150,1.01772,5.61616
OUTPUT,nru,1e+06,150,1.028,6.99
OUTPUT,nru,5e+06,300,1.43988,292.085
OUTPUT,nru,5e+06,300,1.27764,304.238
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,100,0.25872,32.0204
OUTPUT,nru,0,100,0.08448,160.125
OUTPUT,nru,1e+06,150,0.98688,19.5208
OUTPUT,nru,1e+06,150,0.99716,17.4433
OUTPUT,nru,5e+06,300,0,0
OUTPUT,nru,5e+06,300,0.79092,371.513
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,100,0.26928,5.27451
OUTPUT,nru,0,100,0.26928,5.21569
OUTPUT,nru,1e+06,150,1.028,7.23
OUTPUT,nru,1e+06,150,1.028,7.74
OUTPUT,nru,5e+06,300,1.23708,316.754
OUTPUT,nru,5e+06,300,0.52728,335.038
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
OUTPUT,nru,0,300,0,0
