OUTPUT,0.26928,6.37255,2,1
OUTPUT,0.26928,6.29412,2,1
OUTPUT,1.028,21.69,1,1
OUTPUT,1.028,22.95,1,1
OUTPUT,0.08112,627.25,0,0
OUTPUT,0.08112,627,0,0
OUTPUT,0.09084,351.333,2,0
OUTPUT,0.09084,351.333,2,0
OUTPUT,0.09084,351,2,0
OUTPUT,0.26928,9.5098,2,1
OUTPUT,0.26928,7.31373,2,1
OUTPUT,1.01772,25.3939,1,1
OUTPUT,1.01772,26.8384,1,1
OUTPUT,0.2028,308.1,0,0
OUTPUT,0.24336,317.417,0,0
OUTPUT,0.06056,654,2,0
OUTPUT,0.06056,654,2,0
OUTPUT,0.06056,653.5,2,0
OUTPUT,0.1584,123.167,2,0
OUTPUT,0.22704,68.3721,2,1
OUTPUT,0.69904,199.279,0,0
OUTPUT,0.86352,130.202,0,1
OUTPUT,0.12168,655.167,0,0
OUTPUT,0.12168,662.667,0,0
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
OUTPUT,0.26928,6.43137,2,1
OUTPUT,0.26928,6.35294,2,1
OUTPUT,1.00744,52.6939,1,1
OUTPUT,1.00744,58.7653,1,1
OUTPUT,0.32448,323.562,0,0
OUTPUT,0.28392,321.714,0,0
OUTPUT,0.06056,500,2,0
OUTPUT,0.06056,499.5,2,0
OUTPUT,0.06056,500,2,0
OUTPUT,0.26928,9.33333,2,1
OUTPUT,0.26928,7.23529,2,1
OUTPUT,0.98688,35.8021,0,1
OUTPUT,0.9766,37.7263,0,1
OUTPUT,0.32448,233.375,0,1
OUTPUT,0.38532,240.368,0,1
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
OUTPUT,0.1584,140.1,2,0
OUTPUT,0.2376,59.2444,2,1
OUTPUT,0.8224,46.4875,0,1
OUTPUT,0.80184,49.5513,0,1
OUTPUT,0.14196,555,0,0
OUTPUT,0.24336,544.417,0,0
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
OUTPUT,0,0,2,1
